2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
2023-05-22 17:52:16 - SQL query prepared (SELECT)
